County,pop2020,GrowthRate,Square_Miles
Los Angeles,10079000,2.6121,4058
San Diego,3379160,8.8889,4207
Orange,3198000,6.0148,791
Riverside,2517830,14.361,7206
San Bernardino,2208400,8.2066,20057
Santa Clara,1945940,8.9503,1290
Alameda,1684000,11.2991,739
Sacramento,1567490,10.2771,965
Contra Costa,1160920,10.2949,716
Fresno,1010120,8.3746,5958
Kern,912316,8.4706,8132
San Francisco,891583,10.68,47
Ventura,851297,3.1713,1843
San Joaquin,772948,12.4851,1391
San Mateo,771019,7.1269,448
Stanislaus,558911,8.4916,1495
Sonoma,493334,1.7654,1576
Tulare,471389,6.4098,4824
Solano,452076,9.2119,822
Santa Barbara,448369,5.6888,2735
Monterey,435828,4.6667,3381
Placer,408317,16.6533,1407
San Luis Obispo,286354,6.1337,3299
Merced,281615,9.6922,1935
Santa Cruz,272555,3.5673,445
Marin,259548,2.6267,520
Butte,235354,7.0058,1636
Yolo,224472,11.6315,1015
El Dorado,194590,7.4293,1708
Imperial,182333,4.3513,4177
Shasta,181042,2.1238,3775
Madera,161208,6.756,2137
Kings,154706,1.5258,1389
Napa,137479,0.4905,748
Humboldt,136065,0.7889,3568
Nevada,100082,1.313,958
Sutter,97545,2.9466,602
Mendocino,87424,-0.4282,3506
Yuba,80573,11.3656,632
Lake,64822,0.1344,1256
Tehama,64312,1.1752,2950
San Benito,64213,15.6637,1389
Tuolumne,55539,0.6305,2221
Calaveras,45522,0.1188,1020
Siskiyou,43604,-2.9685,6278
Amador,41047,8.3492,595
Lassen,30160,-13.413,4541
Del Norte,28628,0.21,1006
Glenn,28229,0.3662,1314
Colusa,21531,0.4385,1151
Plumas,18932,-4.9312,2553
Inyo,18065,-2.4146,10181
Mariposa,17539,-4.0379,1449
Mono,14280,0.1613,3049
Trinity,12153,-11.6403,3179
Modoc,8635,-10.9702,3198
Sierra,2943,-8.6309,953
Alpine,1061,-8.6133,738
